Created on,"15/3/2022, updated on 28/4/2023"
PH,Pakatan Harapan (PH) Component Party
PH CANDIDATE,Pakatan Harapan Candidate Name as per the Government Gazette (Form 8)
PH CANDIDATE GENDER,Male/Female Classification
PH CANDIDATE AGE,Age of Pakatan Harapan Candidate
PH VOTE,Pakatan Harapan Valid Vote for the Candidate
PH CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PN,Perikatan Nasional (PN) Component Party
PN CANDIDATE,Perikatan Nasional Candidate Name as per the Government Gazette (Form 8)
PN CANDIDATE GENDER,Male/Female Classification
PN CANDIDATE AGE,Age of Perikatan Nasional Candidate
PN CANDIDATE VOTE,Perikatan Nasional Valid Vote for the Candidate
PN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PBM,Party Name
PBM CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8)
PBM CANDIDATE GENDER,Male/Female Classification
PBM CANDIDATE AGE,Age of Party Candidate
PBM VOTE,Party Valid Vote for the Candidate
PBM CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PEJUANG,Party Name
PEJUANG CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8)
PEJUANG CANDIDATE GENDER,Male/Female Classification
PEJUANG CANDIDATE AGE,Age of Party Candidate
PEJUANG VOTE,Party Valid Vote for the Candidate
PEJUANG CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
MUDA,Party Name
MUDA CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8)
MUDA CANDIDATE GENDER,Male/Female Classification
MUDA CANDIDATE AGE,Age of Party Candidate
MUDA VOTE,Party Valid Vote for the Candidate
MUDA CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
WARISAN,Party Name
WARISAN CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8)
WARISAN CANDIDATE GENDER,Male/Female Classification
WARISAN CANDIDATE AGE,Age of Party Candidate
WARSIAN VOTE,Party Valid Vote for the Candidate
WARISAN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PSM,Party Name
PSM CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8)
PSM CANDIDATE GENDER,Male/Female Classification
PSM CANDIDATE AGE,Age of Party Candidate
PSM VOTE,Party Valid Vote for the Candidate
PSM CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PUTRA,Party Name
PUTRA CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8)
PUTRA CANDIDATE GENDER,Male/Female Classification
PUTRA CANDIDATE AGE,Age of Party Candidate
PUTRA VOTE,Party Valid Vote for the Candidate
PUTRA CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 1,Independent with Symbol
INDEPENDENT 1 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 1 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 1 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 1 VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 1 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 2,Independent with Symbol
INDEPENDENT 2 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 2 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 2 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 2 VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 2 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 3,Independent with Symbol
INDEPENDENT 3 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 3 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 3 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 3 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 3 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
MIC,Malaysian Indian Congress
PKR,Parti Keadilan Rakyat
DAP,Democratic Action Party
PAN,Parti Amanah Negara
PPBM,Parti Pribumi Bersatu Malaysia
PAS,Parti Islam Se-Malaysia
GERAKAN,Parti Gerakan Rakyat Malaysia
PBM,Parti Bangsa Malaysia
PEJUANG,Parti Pejuang Tanah Air
MUDA,Malaysian United Democratic Alliance
WARISAN,Parti Warisan
PSM,Parti Sosialis Malaysia
PUTRA,Parti Bumiputera Perkasa Malaysia
